"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2229821.2063","507562.684","486891270.1498","177070329.726","9944134.0782","6871508.3799","1508379.8883","1675977.6536","893854.748603352","223463.687150838","31284916.2011173","-1787709.4972067","2625698.32402235","-3687150.83798883","-6145251.39664804","-3240223.46368715","-8156424.58100559","-8863534.76949511","-12822664.7351483","39553072.6256983","2793296.08938548","1508379.88826816","2737430.16759777","3128491.62011173","2793296.08938548","4419814.52513967","8864325.69832402","10514787.7094972","493610.055865922","8547486.0335","",
"Afghanistan","AFG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","-700000","1500000","0","0","71600000","80900000","71700000","70200000","65000000","537308.3761","-19160.5696","-1335082.26835943","-14775935.5575648","-10795103.9263814","",
"Angola","AGO","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900000","","188900.727","2000000","-2000000","-1000000","-12420956.3263","3973419.4138","0","-88285","0","","100111000","95900000","783236000","219362057.12","190585085.92","911781455.46","2569643973.88","6753124.58","1340429383.96","2092642447.92077","2740754700.52325","6044160121.18288","4253084047.88522","1046696441.87469","273005000","1352005056.9","",
"Albania","ALB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13603902.3661545","4061523.92699014","10500000","4910319.91631329","371616004.880164","394535683.846281","46391735.1916708","201947827.706515","83220825.754086","28446217.1717832","75618936.6280233","79267653.9191687","7036230.18675914","-106102642.02014","",
"Andorra","AND","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","2000000","1000000","6680000","8480000","2420000","134343069.254668","116153834.739048","174614507.304245","175492298.546253","-114843132.293798","710383830.253532","-90992264.9684078","433183803.816469","250070403.716884","240053563.697748","132855788.098367","361380911.657037","954918954.213301","2220931714.14596","1824282988.99618","-63769643.3567657","101636331.254466","1388113241.27361","325260538.350127","-187743759.275884","-554552174.031303","2723768858.88931","212915461.411622","-913040224.9422","1211471992.40047","2345707164.94462","-716248643.647455","3112919988.39656","-1781905957.56346","7565790218.65106","11729294066.2611","22800057001.7487","37385657166.7383","44018602927.0142","18932233382.0688","21063816211.3664","31319881579.6278","20504648085.598","42254272588.5753","41140792358.0671","30942746134.2038","40280267858.3128","33029037740.6828","",
"United Arab Emirates","ARE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","-2000000","3000000","8000000","3000000","10000000","11069596.856","-23325605.3068","-11108923.1968","69610177.7816","3687066.7138","-57651390.6993457","10441825.5284279","15196200.0261311","30759464.1744492","577000890.502896","62466873.5578273","128613431.133082","231131677.831323","127300067.271527","317106416.985779","423667086.253621","213701291.163198","441116405.718176","991150442.477876","2208000000","3750300000","10891763104.1525","14567733151.8039","15820300000","2722900000","2015000000","2178000000","2536010989.2608","8828337874.6594","11735900000","16691600000","12963925000","13955500000","",
"Argentina","ARG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","1817000","0","1673000","0","2396000","4487000","1542000","-1000000","-23000000","-59000000","-110000000","-107000000","-30000000","2000000","43559000","42349047.526","11199789.6597","48130952.7512","-22677108.885","64400565.2086","34902986.2475","","1165914300","705070000","1012844000","1497149000","1600749000","3652818000","2325477000","1730283000","901028199.337856","160876687.495159","-627140000","773780000","675990000","1311060000","2438710000","1504230000","1390930000","711546403.74567","964760680.391808","1488000000","1054849578.05633","889972858.727091","1920541433.10506","875233227.354258","1786530934.74805","1155630218.02453","",
"Armenia","ARM","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11546000","","","","1531.79396411895","359247.037904563","-400827.332511057","4895502.30921948","21936559.5624198","13787065.1346873","18687979.7417682","50399126.3162577","7944744.7550474","215885797.711355","15802759.0800175","26574013.1703595","16036515.9694977","16770963.2342048","66203545.2653528","22253074.9983208","",
"American Samoa","ASM","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
