Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,Afghanistan,Export,Export Share in Total Products (%),3.3972,3.0676,5.1666,9.0411,8.9391,11.2142,10.1938,14.8709,16.0117,16.0863,19.1738,17.3531,20.435,18.8786,17.9806,22.8062,27.779,30.3017
China,Albania,Export,Export Share in Total Products (%),8.2118,9.5785,9.2788,12.9821,15.0676,18.339,17.5864,22.6848,27.4646,30.8245,31.3875,32.6131,34.0961,35.7902,37.2713,36.7697,39.3253,39.8276
China,Algeria,Export,Export Share in Total Products (%),20.9254,25.1461,29.5234,32.2866,39.1378,43.086,47.2831,48.9092,53.6043,50.0786,50.5164,49.8762,52.0163,54.1714,55.6585,55.2899,55.8297,56.6115
China,Andorra,Export,Export Share in Total Products (%),0.3543,0.2922,0.6959,1.0116,1.5004,2.8246,1.7481,1.5361,1.7741,2.4938,1.8635,1.8006,4.3725,1.4696,2.9139,3.2709,4.2789,4.3547
China,Angola,Export,Export Share in Total Products (%),7.8366,10.4967,14.1291,17.7871,19.9915,26.855,35.2148,37.7783,43.1395,44.6866,44.0054,45.9374,49.5469,51.5487,54.9808,52.1317,46.638,50.0567
China,Antigua and Barbuda,Export,Export Share in Total Products (%),0.8128,1.419,2.7204,1.7071,2.5571,4.1315,5.3286,5.6545,6.0409,8.0881,8.9582,7.9451,8.541,10.9654,13.2595,11.2339,10.5501,13.1776
China,Argentina,Export,Export Share in Total Products (%),36.4735,36.7487,27.3513,36.9442,42.0752,45.8685,50.2106,55.9216,58.6122,58.4588,61.4504,63.0655,61.0331,60.7506,61.4412,62.0573,63.3235,64.9127
China,Armenia,Export,Export Share in Total Products (%),2.2301,2.2955,2.0034,3.1191,5.3466,7.7361,10.6992,13.5797,16.7977,20.1752,23.8437,24.623,24.3543,24.5761,28.778,27.0923,27.1451,32.1615
China,Aruba,Export,Export Share in Total Products (%),4.9604,3.9441,3.1843,4.8683,3.5926,3.8786,,5.276,6.1307,7.4365,7.8132,10.4434,10.4214,11.4402,11.4299,14.753,13.5386,14.6065
China,Australia,Export,Export Share in Total Products (%),60.9629,63.0426,66.5542,67.9663,71.1327,72.6602,74.8315,77.0036,77.1839,77.3759,77.2115,78.5055,78.9533,79.5162,80.2801,80.2391,80.7109,80.6532
China,Austria,Export,Export Share in Total Products (%),24.0934,26.7321,28.4057,31.9494,33.8335,36.6568,39.0059,42.0303,43.2293,43.6756,43.1971,45.2172,45.1744,44.7434,45.855,45.9734,47.0002,47.7206
China,Azerbaijan,Export,Export Share in Total Products (%),2.3135,2.4833,2.1932,5.7323,6.4455,10.3921,13.4162,16.7409,20.9971,21.9501,23.6417,29.282,34.164,33.3936,31.85,30.5662,30.36,33.8399
China,"Bahamas, The",Export,Export Share in Total Products (%),2.1676,2.7755,3.3108,4.2782,4.5647,7.0826,10.1938,11.5316,12.733,13.233,13.5384,14.9223,16.8781,16.8212,17.1222,18.5427,16.278,22.7943
China,Bahrain,Export,Export Share in Total Products (%),13.9016,15.9015,18.0304,19.7682,22.8022,26.075,28.2224,32.8584,36.5821,38.4408,39.4701,39.6804,40.4395,42.8216,44.4093,44.5748,44.0797,44.3411
China,Bangladesh,Export,Export Share in Total Products (%),40.5586,42.717,43.9688,48.1981,51.6484,54.3845,54.9495,56.5004,59.3083,60.5482,62.2811,63.2005,64.7712,65.7698,67.8112,69.6594,70.7041,71.4901
China,Barbados,Export,Export Share in Total Products (%),3.7099,4.7788,6.8536,7.5237,7.2697,9.7597,11.6259,13.0899,12.8902,13.2779,13.1567,14.1121,15.9946,14.5376,16.7156,18.3397,23.7265,19.5056
China,Belarus,Export,Export Share in Total Products (%),2.9387,2.5876,6.5373,9.5469,11.2215,16.2099,21.8408,26.7364,30.7433,30.5325,35.4064,35.6516,36.9053,40.1311,40.8855,40.6046,41.2044,43.6834
China,Belgium,Export,Export Share in Total Products (%),43.5807,46.0768,48.8402,51.7808,55.4311,59.4646,62.7001,65.9394,67.011,65.7156,66.053,67.2519,66.8328,66.9455,67.6079,67.7194,67.6704,67.4076
China,Belize,Export,Export Share in Total Products (%),3.0221,4.904,6.0945,8.0927,8.3686,8.1788,8.5931,11.7097,12.4186,12.5365,11.2483,11.7488,11.2596,13.882,14.9537,16.3997,18.2477,19.9592
