Economy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,..,..,2854.65,5497.99,12261.17,17633.97,26506.09,55907.17,56528.99,68811.31,74654.04,87803.53
Developed economies,..,..,211.44,335.51,730.68,519.51,2747.36,2787.17,7042.83,10863.95,13422.57,13508.35
Europe,..,..,112.54,73.66,190.13,129.88,1050.41,466.72,2991.35,6128.57,7596.64,6137.08
European Union,..,..,112.54,73.08,189.54,128.73,1045.32,466.62,2966.69,5963.09,7560.88,6119.95
Austria,..,..,0,0,0,0,0,0,0,0,20.22,53.43
Belgium,..,..,0,0,0,0,4.91,0,23.62,45.33,35.9,98.4
Bulgaria,..,..,0,0,1.72,0,0,0,-2.43,16.29,53.9,54.17
Croatia,..,..,0,0,0,0,1.2,0,0,0,0,0
Cyprus,..,..,0,0,0,0,0,0,0,0,89.54,3.48
Czech Republic,..,..,0,0,0,9.1,4.97,12.79,15.6,2.11,8.84,18.02
Denmark,..,..,73.88,-7.78,10.79,-58.91,0,1.33,2.64,1.61,5.89,5.14
Finland,..,..,0,0,0,0,0,2.66,1.11,18.04,1.56,1.36
France,..,..,0,10.31,6.09,5.6,9.62,31.05,45.19,26.41,3482.32,153.93
Germany,..,..,25.06,27.5,128.74,76.72,238.66,183.41,179.21,412.35,512.38,799.33
Greece,..,..,0,0,0,0,0,0,0,0,0,0.88
Hungary,..,..,1.18,0,0.65,0,8.63,2.15,8.21,370.1,11.61,41.4
Ireland,..,..,0,0,0,25.29,0,42.33,-0.95,32.88,16.93,48.88
Italy,..,..,0,3.1,7.46,7.63,8.1,5,46.05,13.27,224.83,118.58
Latvia,..,..,1.58,0,0,0,-1.74,0,0,0,0,0
Lithuania,..,..,0,0,0,0,0,0,0,0,0,1
Luxembourg,..,..,0,0,0,0,4.19,42.13,2270.49,3207.19,1265,1133.01
Malta,..,..,0,0,0,0,0,0,0,-2.37,0,0
Netherlands,..,..,4.47,1.91,3.84,5.31,106.75,91.97,101.45,64.53,167.86,442.45
Poland,..,..,1.55,0,0,0,11.75,10.7,10.37,16.74,48.66,7.5
Portugal,..,..,0,0,0,0,0,0,0,0,0,5.15
Romania,..,..,0.61,2.68,2.87,9.63,6.8,11.98,5.29,10.84,0,25.41
Slovakia,..,..,0,0,0,0,0,0,0,0,5.94,2.19
Spain,..,..,0,1.7,1.47,7.3,6.09,1.16,59.86,29.26,139.74,46.24
Sweden,..,..,0,2.64,1,5.3,68.06,10.66,8.1,1367.23,49.01,285.22
United Kingdom,..,..,2.11,29.39,24.78,35.12,566.54,16.71,192.17,330.33,1419.7,2774.73
Other developed Europe,..,..,0,0.58,0.59,1.15,5.09,0,24.66,165.48,35.76,17.13
Liechtenstein,..,..,0,0,0,0,0,0,0,3.55,0,0
Norway,..,..,0,0,0,0,3.6,0,3.6,134.73,18.57,8.49
Switzerland,..,..,0,0.58,0.59,1.01,1.21,0,20.99,27.25,17.19,8.64
North America,..,..,57.75,125.05,264.26,233.11,1228.3,469.06,1521.87,2450.58,2365.49,4843.01
Canada,..,..,-7.3,5.12,32.44,34.77,1032.57,7.03,613.13,1142.29,554.07,795.16
United States,..,..,65.05,119.93,231.82,198.34,195.73,462.03,908.74,1308.29,1811.42,4047.85
Other developed countries,..,..,41.15,136.8,276.29,156.52,468.65,1851.39,2529.61,2284.8,3460.44,2528.26
Australia,..,..,30.39,124.95,193.07,87.6,531.59,1892.15,2436.43,1701.7,3165.29,2172.98
Bermuda,..,..,0,1.45,56.58,24.94,-102.59,-104.84,0,170.86,115.83,38.99
Israel,..,..,0,0,6,1,2.22,-1,0,10.5,2.01,11.58
Japan,..,..,7.37,15.3,17.17,39.49,39.03,58.62,84.1,337.99,149.42,210.65
New Zealand,..,..,3.07,-4.9,3.47,3.49,-1.6,6.46,9.02,63.75,27.89,94.06
Developing economies,..,..,2604.61,5065.24,11215.6,16564.98,22891.16,52054.8,48779.79,56735.91,60033.51,70016.64
Africa,..,..,74.81,317.43,391.68,519.86,1574.31,5490.56,1438.87,2111.99,3173.14,2516.66
North Africa,..,..,4.86,165.71,190.41,153.57,280.86,11.1,358.49,259.57,1153.45,365.12
Algeria,..,..,2.47,11.21,84.87,98.93,145.92,42.25,228.76,186,114.34,245.88
Egypt,..,..,2.1,5.72,13.31,8.85,24.98,14.57,133.86,51.65,66.45,119.41
Libya,..,..,0,0,0,-8.51,42.26,10.54,-38.55,-10.5,47.88,-6.68
Morocco,..,..,0,1.8,0.85,1.78,2.64,6.88,16.42,1.75,9.11,1.05
Sudan,..,..,0,146.7,91.13,50.79,65.4,-63.14,19.3,30.96,911.86,-1.69
Tunisia,..,..,0,0,0,1.73,0,0,-1.3,0,3.76,-0.65
Other Africa,..,..,69.95,151.72,201.27,366.29,1293.45,5479.46,1080.38,1852.42,2019.69,2151.54
Angola,..,..,0,0,0,22.39,41.19,-9.57,8.31,101.11,72.72,392.08
Botswana,..,..,0.8,0,3.69,2.76,1.87,14.06,18.44,43.85,21.86,21.1
Cameroon,..,..,0,0,0,0.73,2.05,1.69,0.82,14.88,1.87,17.65
Congo,..,..,0,0.51,8.11,13.24,2.5,9.79,28.07,34.38,6.81,98.8
