Servings per day,Item,Total Caffeine (in mg)
Coffee (180 ml cup),Drip brewed,100 mg per 180 ml
,Percolated,120 mg per 180 ml
,Instant,90 mg. per 180 ml
,Brewed decaffeinated,5 mg per 180 ml
,Instant decaffeinated,3 mg per 180 ml
Tea (180 ml cup),Green,35 mg per 180 ml
,Black,70 mg per 180 ml
,Canned ice tea,35 mg per 360 oz can
Cocoa,Cocoa beverages,13 mg per 180 ml
Chocolate,Milk chocolate,6 mg per 30 ml
,Baking chocolate,35 mg per 30 ml
,Small candy bar,25 mg per bar
Soft drinks (360 ml can),Leading colas (regular and diet),45 mg
,Dr. Pepper,40 mg
,Mello Yello,53 mg
,Mountain Dew,54 mg
,Mr. Pibb,41 mg
,OK Soda,40 mg
,Jolt Cola,72 mg
Medications (per tablet),Anacin,32 mg
,"Dristan (i.e., acetylsalicylic acid+caffeine)",16 mg
,"Dexatrim (i.e., phenylpropanolamine+caffeine)",16 mg
,"Excedrin (i.e., acetaminophen+acetylsalicylic acid+caffeine)",200 mg
,"Midol (i.e., acetaminophen+pyrilamine maleate+caffeine)",32 mg
,"Nodoz (i.e., caffeine)",100 mg
,"Vivarin (i.e., caffeine)",200 mg
,"Vanquish (i.e., acetaminophen+acetylsalicylic acid+caffeine)",33 mg
Energy drinks,28 Energy Drink,80 mg
,6 Hour Power,125 mg
,BANG Energy Drink,357 mg
,Biggby Iced Coffee,192 mg
,Caffeine Energy Drink,140 mg
,Chameleon Cold Brew Coffee,2160 mg
,Cocaine Energy Drink,280 mg
,Diablo Energy Drink,95 mg
,Guayaki Empower Mint,140 mg
Energy drinks,Hardcore Energize Bullet,300 mg
,Java Monster,188 mg
,Liquid Lightning,200 mg
,Monster Energy Drink,160 mg
,Neurofuel Energy Drink,128 mg
,Octane Energy Drink,225 mg
,Potencia Energy Drink,250 mg
,Rage Inferno,375 mg
,Red Bull,80 mg
,Speed Energy Drink,186 mg
,Starbucks Tall Coffee,260 mg
,Ubermonster Energy Brew,160 mg
,Venom Black Mamba,160 mg
,Zun Energy Drink,100 mg
