Common Name,Name,CountryCode,NumberActors,MilFatalities,TotalFatalities,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Region,Century,Decade,DurationD,DurationM,DurationY
,"England (Henry IV vs Richard II), 1400",,2,,,1400,1,,1400,2,,3,1,140,,1,0
,"England-Scotland, 1400-02",,2,,,1400,,,1402,,,3,1,140,,,2
,"Mongols (Timur)-Georgia, 1400",,2,,,1400,,,1400,,,4,1,140,,,0
,"Mongols (Timur)-Turkey, 1400",,2,,,1400,8,,1400,9,,4,1,140,,1,0
,"Mongols (Timur)-Egypt, Syria (Burji Mamluks), 1400-01",,3,,,1400,10,,1401,2,,5,1,140,,4,1
,"China (minority in Hebei, Shandong, Anhui, Jiangsu), 1400-02",710,2,,10000,1400,,,1402,,,12,1,140,,,2
,"Emperor (Rupert)-Milan, 1401-2",,2,,,1401,,,1402,,,3,1,140,,,1
,"Hungary, 1401",,2,,,1401,,,1401,,,3,1,140,,,0
,"Russia-Lithuania, 1401-04",,2,,,1401,,,1404,,,4,1,140,,,3
,"Mongols-Iraq (revolt in Baghdad), 1401",,2,,,1401,7,9,1401,7,10,5,1,140,1,0,0
,"Arakon-Ava (Burma), 1401-10",,2,,,1401,,,1410,,,11,1,140,,,9
,"Pegu-Ava (Burma), 1401",,2,,,1401,,,1401,,,11,1,140,,,0
,"Mujapahit (India, civil war), 1401-06",,2,,,1401,,,1406,,,10,1,140,,,5
,"China-Japanese pirates (Zhejiang), 1401",,2,,,1401,,,1401,,,12,1,140,,,0
,"Korea (coup), 1401",730,2,,,1401,,,1401,,,12,1,140,,,0
,"Mongols (Timur)-Turkey (Ottomans), 1402",,2,,,1402,6,,1402,7,20,4,1,140,,1,0
,"Mongols (Timur)-Rhodes (Knights of) (Smyrna), 1402",,2,,,1402,12,2,1402,12,16,4,1,140,14,0,0
,"Milan (succession, with intervention by Venice), 1402-12",,2,,,1402,9,3,1412,,,3,1,140,,,10
Glendower's Revolt,"England (Wales, with intervention by France), 1402-09",,3,,2700,1402,,,1409,,,3,1,140,,,7
,"Spain-Canary Islands, 1402-22",,2,,,1402,,,1422,,,3,1,140,,,20
,"Scotland-England, 1402-03",,2,,3000,1402,9,14,1403,,,3,1,140,,,1
,"Naples-Hungary, 1402-3",,2,,,1402,,,1403,,,3,1,140,,,1
,"Turkey-India (Turco?), 1402",,2,,,1402,7,20,1402,7,20,9,1,140,0,0,0
Revolt of the Percys,"England, 1403",,2,,300,1403,,,1403,7,21,3,1,140,,,0
,"Venice-Genoa, 1403",,2,,,1403,,,1403,,,3,1,140,,,0
,"Appenzell, Swiss Confederation-Abbey of St. Gall, Austria, Germany, 1403-11",,5,,,1403,,,1411,,,3,1,140,,,8
,"Swiss Confederation-Savoy, 1403-16",,2,,,1403,,,1416,,,3,1,140,,,13
