General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,346.00,270.60,245.00,206.40,23.00,20.10,19.10,16.20,7.70,7.50,6.80,6.90,8.70,9.10,7.80,7.00,7.10,6.90,7.00,7.30,7.50,7.80,8.10
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.20,71.20,68.20,63.80,60.60,64.10,60.20,57.50,58.20,56.70,53.60,55.10,59.70,57.70,59.40,62.10,70.30,72.10,73.90,73.30,71.90,68.60,65.10,63.30,60.40,58.50,56.00,55.80
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.80,62.90,74.00,98.40,116.20,98.10,69.90,72.90,82.00,62.80,54.30,51.30,42.10,35.20,26.30,23.60,13.50,8.10,9.80,10.50,9.30,9.30,7.60,7.70,8.70,20.40,27.50,36.90,46.90,48.90,49.40,47.40,43.00,43.30
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,133.90,113.50,73.70,58.00,47.70,33.50,18.70,21.00,31.40,56.30,37.20,29.60,26.70,33.10,39.80,57.10,75.70,68.50,88.10,90.50,82.80,79.70,75.40,70.90,66.10
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,98.10,99.10,95.50,90.10,89.70,98.30,91.70,87.00,102.60,104.60,104.70,117.90,126.30,125.20,120.10,92.70,89.20,77.90,76.10,101.00,89.40,91.40,86.70,94.90,102.50,98.60,86.00,87.70,88.10,88.30,89.10,90.40,92.50,95.70,99.20
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.70,27.70,29.30,31.70,33.60,32.70,35.20,40.10,42.10,49.40,152.20,129.10,117.90,80.30,70.80,62.10,53.80,55.40,43.50,38.90,40.40,43.50,44.70,52.60,53.10,57.10,86.30,75.90,69.00,65.10,62.80,60.70,59.50
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.80,46.50,45.20,39.20,39.40,37.80,38.10,32.90,26.40,20.50,16.20,14.20,13.10,28.10,27.80,29.40,30.00,31.70,35.00,39.50,47.00,48.30,48.50,48.00,48.20,48.50,49.50,50.00,50.20
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.10,54.80,51.10,41.00,39.30,38.60,43.80,47.60,41.30,43.00,45.70,46.40,45.60,41.70,49.90,56.10,63.90,67.60,74.00,81.60,81.30,84.70,86.00,83.90,83.60,81.90,79.80,77.60,75.30,72.80
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.10,16.40,21.60,27.70,30.70,31.80,31.20,29.40,26.00,23.80,22.60,19.60,17.20,15.10,13.20,11.90,10.90,10.00,9.70,11.80,16.80,20.50,24.10,27.70,30.70,34.10,37.80,40.50,40.70,40.70,41.10,40.60,39.70,38.90,37.50,36.40
Austria,no data,no data,no data,no data,no data,no data,no data,no data,57.40,56.30,55.90,56.10,56.00,60.60,63.70,67.90,67.80,63.10,68.80,61.10,65.70,66.40,67.00,64.90,64.80,68.30,67.00,64.70,68.40,79.60,82.40,82.20,81.70,81.00,83.80,84.40,82.90,78.50,74.20,71.20,68.40,66.10,64.30,62.70,61.20
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.20,16.70,12.50,14.30,25.40,22.80,24.40,23.00,21.80,9.70,6.90,5.30,4.00,3.20,4.70,5.00,5.00,5.80,6.20,8.50,18.00,20.60,22.60,19.40,17.60,15.00,12.70,11.10,9.60,8.30
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.20,15.30,17.90,19.70,20.90,21.00,20.70,21.50,20.80,19.80,19.20,18.50,19.40,20.80,21.60,23.00,23.20,23.50,25.30,30.10,33.90,35.30,37.60,43.90,47.80,49.60,50.50,54.60,61.00,60.50,59.10,57.50,56.00,54.40,52.90
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.50,7.00,6.70,6.20,5.90,14.20,13.70,15.40,20.80,25.70,25.70,26.10,28.40,32.50,29.40,24.20,20.30,16.30,12.60,21.40,29.70,32.80,36.20,43.90,44.40,66.00,81.30,88.20,93.40,100.20,103.60,106.20,108.70,111.20,113.80
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.30,43.50,42.30,42.30,41.90,40.60,39.50,35.50,36.60,36.20,35.80,35.30,33.70,33.30,32.50,34.80,34.80,34.50,34.10,33.70,33.30,32.80
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.90,57.90,58.50,58.50,53.90,53.80,61.30,67.50,71.00,70.90,70.50,73.30,75.80,77.40,83.40,100.00,108.20,112.60,123.70,135.20,139.20,146.70,149.10,157.50,124.50,117.30,110.10,103.10,96.40,90.50,86.20
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.50,8.40,12.70,16.40,21.00,32.50,36.80,58.20,36.90,36.90,38.80,53.00,53.50,53.20,47.80,51.10,51.90,50.40,50.40,50.70,51.20
Belgium,76.40,89.20,99.10,109.70,114.00,118.70,124.00,128.50,129.00,125.70,129.60,131.10,133.90,138.10,136.30,130.50,128.00,123.20,118.20,114.40,108.80,107.60,104.70,101.10,96.50,94.70,91.10,87.00,92.50,99.50,99.70,102.60,104.30,105.50,107.60,106.50,106.10,103.40,101.40,99.60,98.10,96.40,94.70,93.10,91.00
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.30,95.00,109.30,103.40,102.40,95.70,93.40,85.80,93.70,89.50,83.60,79.60,78.20,76.80,79.30,93.20,94.40,94.70,92.60,90.50,88.40,86.30,84.10,83.30
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.90,54.10,51.90,42.00,32.00,29.40,36.90,11.40,19.50,25.00,25.60,28.70,29.90,26.70,25.30,30.50,42.40,49.70,54.40,54.60,54.00,51.50,48.50,45.40,42.20,38.70
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.40,55.10,40.10,38.20,34.20,37.70,40.60,45.60,54.20,59.80,74.60,78.60,82.60,75.50,70.30,63.60,64.50,59.50,67.10,76.30,100.30,96.20,95.70,114.20,106.30,102.60,103.80,107.90,105.50,96.70,83.50,77.60
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.90,60.00,69.10,74.10,89.80,82.20,56.20,41.70,38.00,41.00,39.60,37.50,36.20,37.10,38.00,41.30,46.60,50.90,53.90,57.10,58.00,58.60,58.80,58.90,58.30
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.40,56.00,34.70,35.20,31.20,27.60,25.50,25.50,21.20,18.70,30.90,35.10,40.80,39.60,42.20,42.50,45.90,45.50,44.10,39.00,37.00,36.30,36.40,35.40,33.90,32.40,30.90
