"Country","Death Rate per 100K","Guns per 100 Individuals","GDP","GDP Percent of Max GDP","Developed"
"United States","10.45","101.05","18624475","100","1"
"Japan","0.06","0.6","4940158","27","1"
"Germany","1.01","30.3","3477796","19","1"
"United Kingdom","0.23","2.8","2647898","14","1"
"France","2.83","14.96","2465453","13","1"
"India","0.28","4.2","2263792","12",""
"Italy","1.31","11.9","1858913","10","1"
"Brazil","21.9","8.6","1796186","10",""
"Canada","2.05","25.33","1529760","8","1"
"South Korea","0.08","1.1","1411246","8","1"
"Spain","0.62","10.4","1237255","7","1"
"Australia","1.04","13.7","1204616","6","1"
"Mexico","11.23","15","1046922","6",""
"Netherlands","0.58","3.9","777227","4","1"
"Switzerland","3.01","24.45","668851","4","1"
"Argentina","6.93","8.8","545866","3",""
"Sweden","1.47","31.6","511000","3","1"
"Poland","0.26","1.3","469509","3",""
"Belgium","1.24","6.86","466366","3","1"
"Austria","2.9","30.4","386428","2","1"
"Venezuela","59.13","10.7","371337","2",""
"Norway","1.75","31.3","370557","2","1"
"Israel","2.09","7.3","318744","2","1"
"Denmark","1.28","12","306143","2","1"
"Philippines","8.9","4.7","304905","2",""
"Singapore","0.14","0.5","296966","2","1"
"South Africa","8.3","12.7","294841","2",""
"Ireland","0.8","3.89","294054","2","1"
"Colombia","18.65","6.9","282463","2",""
"Chile","2.4","10.2","247028","1",""
"Finland","3.25","27.5","236785","1","1"
"Portugal","1.58","8.5","204565","1","1"
"Greece","1.52","22.5","194559","1","1"
"Czech Republic","2.01","16.3","192925","1","1"
"Peru","5.53","18.8","192094","1",""
"Romania","0.14","0.7","186691","1",""
"New Zealand","1.07","30","185017","1","1"
"Qatar","0.15","19.2","152469","1",""
"Hungary","0.95","5.5","124343","1",""
"Kuwait","0.36","24.8","112812","1",""
"Ukraine","0.24","6.6","93270","1",""
"Slovakia","1.83","8.3","89552","1","1"
"Guatemala","34.1","13.1","68763","1",""
"Luxembourg","1.19","15.3","59948","1",""
"Costa Rica","6.3","8.6","57436","1",""
"Panama","15.11","21.7","55188","1",""
"Uruguay","11.52","31.8","52420","1",""
"Bulgaria","1.73","19.4","52395","1",""
"Croatia","2.35","21.7","50425","1",""
"Slovenia","2.64","13.5","43991","1","1"
"Azerbaijan","0.07","3.5","37848","1",""
"Serbia","3.49","37.82","37745","1",""
"Latvia","1.43","19","27677","1",""
"Paraguay","7.76","17","27441","1",""
"El Salvador","45.6","5.8","26797","1",""
"Estonia","2.67","9.2","23137","1","1"
"Honduras","60","11.24","21517","1",""
"Iceland","0.07","30.3","20047","1","1"
"Zimbabwe","0.39","4.6","16289","1",""
"Jamaica","30.72","8.1","14027","1",""
"Nicaragua","4.68","7.7","13231","1",""
"Kyrgyzstan","1.01","0.9","6551","1",""
"Barbados","6.6","3.5","4588","1",""
"Montenegro","8.91","23.1","4173","1",""
"Swaziland","37.16","6.4","3727","1",""
