"S-no","Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"1","1","1","Winter Is Coming","9.1","36,282","Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.","17 Apr. 2011"
"2","1","2","The Kingsroad","8.8","27,477","While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.","16 May 2011"
"3","1","3","Lord Snow","8.7","25,971","Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.","23 May 2011"
"4","1","4","Cripples, Bastards, and Broken Things","8.8","24,600","Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.","30 May 2011"
"5","1","5","The Wolf and the Lion","9.1","25,647","Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.","6 Jun. 2011"
"6","1","6","A Golden Crown","9.2","25,374","While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.","13 Jun. 2011"
"7","1","7","You Win or You Die","9.3","25,887","Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.","20 Jun. 2011"
"8","1","8","The Pointy End","9.1","23,993","The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.","27 Jun. 2011"
"9","1","9","Baelor","9.6","34,001","Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.","4 Jul. 2011"
"10","1","10","Fire and Blood","9.5","29,838","Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.","11 Jul. 2011"
"11","2","1","The North Remembers","8.9","23,305","Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.","1 Apr. 2012"
"12","2","2","The Night Lands","8.6","22,012","Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret.","8 Apr. 2012"
"13","2","3","What Is Dead May Never Die","8.9","21,751","Tyrion tries to see who he can trust in the Small Council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.","15 Apr. 2012"
