Category: All categories

Day,Chernobyl disaster: (Worldwide)
2019-01-01,2
2019-01-02,2
2019-01-03,3
2019-01-04,3
2019-01-05,2
2019-01-06,2
2019-01-07,2
2019-01-08,2
2019-01-09,2
2019-01-10,2
2019-01-11,2
2019-01-12,2
2019-01-13,2
2019-01-14,2
2019-01-15,2
2019-01-16,2
2019-01-17,2
2019-01-18,2
2019-01-19,2
2019-01-20,3
2019-01-21,3
2019-01-22,2
2019-01-23,2
2019-01-24,2
2019-01-25,3
2019-01-26,2
2019-01-27,3
2019-01-28,2
2019-01-29,2
2019-01-30,2
2019-01-31,2
2019-02-01,2
2019-02-02,2
2019-02-03,2
2019-02-04,2
2019-02-05,2
2019-02-06,2
2019-02-07,2
2019-02-08,2
2019-02-09,2
2019-02-10,2
2019-02-11,3
2019-02-12,2
2019-02-13,2
2019-02-14,2
2019-02-15,3
2019-02-16,2
2019-02-17,3
2019-02-18,2
2019-02-19,3
2019-02-20,2
2019-02-21,2
2019-02-22,3
2019-02-23,2
2019-02-24,2
2019-02-25,2
2019-02-26,2
2019-02-27,2
2019-02-28,2
2019-03-01,2
2019-03-02,2
2019-03-03,3
2019-03-04,2
2019-03-05,2
2019-03-06,2
2019-03-07,3
2019-03-08,2
2019-03-09,3
2019-03-10,3
2019-03-11,3
2019-03-12,3
2019-03-13,2
2019-03-14,2
2019-03-15,3
2019-03-16,2
2019-03-17,3
2019-03-18,2
2019-03-19,2
2019-03-20,3
2019-03-21,2
2019-03-22,2
2019-03-23,3
2019-03-24,2
2019-03-25,2
2019-03-26,2
2019-03-27,3
2019-03-28,3
2019-03-29,4
2019-03-30,3
2019-03-31,4
2019-04-01,4
2019-04-02,4
2019-04-03,5
2019-04-04,5
2019-04-05,5
2019-04-06,4
2019-04-07,4
2019-04-08,4
2019-04-09,3
2019-04-10,3
2019-04-11,3
2019-04-12,3
2019-04-13,3
2019-04-14,3
2019-04-15,12
2019-04-16,5
2019-04-17,4
2019-04-18,3
2019-04-19,3
2019-04-20,3
2019-04-21,4
2019-04-22,5
2019-04-23,4
2019-04-24,4
2019-04-25,5
2019-04-26,10
2019-04-27,7
2019-04-28,6
2019-04-29,5
2019-04-30,4
2019-05-01,4
2019-05-02,4
2019-05-03,4
2019-05-04,6
2019-05-05,6
2019-05-06,8
2019-05-07,31
2019-05-08,28
2019-05-09,21
2019-05-10,19
2019-05-11,24
2019-05-12,23
2019-05-13,18
2019-05-14,43
2019-05-15,34
2019-05-16,28
2019-05-17,25
2019-05-18,31
2019-05-19,34
2019-05-20,29
2019-05-21,51
2019-05-22,51
2019-05-23,51
2019-05-24,54
2019-05-25,74
2019-05-26,79
2019-05-27,78
2019-05-28,99
2019-05-29,84
2019-05-30,79
2019-05-31,74
2019-06-01,83
2019-06-02,100
