"S-no","Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"1","1","1","Pilot","8.9","19,784","Diagnosed with terminal lung cancer, chemistry teacher Walter White teams up with his former student, Jesse Pinkman, to cook and sell crystal meth.","11 Mar. 2009"
"2","1","2","Cat's in the Bag...","8.7","13,935","After their first drug deal goes terribly wrong, Walt and Jesse are forced to deal with a corpse and a prisoner. Meanwhile, Skyler grows suspicious of Walt's activities.","27 Jan. 2008"
"3","1","3","...And the Bag's in the River","8.7","13,503","As Jesse struggles to sell the meth he and Walter made, the chemistry teacher faces his own dilemmas, such as hiding his cancer from his wife and deciding what to do with Jesse's prisoner Krazy-8.","10 Feb. 2008"
"4","1","4","Cancer Man","8.2","13,158","Walt tells the rest of his family about his cancer. Jesse tries to make amends with his own parents.","17 Feb. 2008"
"5","1","5","Gray Matter","8.3","12,857","Walt rejects everyone who tries to help him with the cancer. Jesse tries his best to create Walt's meth, with the help of an old friend.","24 Feb. 2008"
"6","1","6","Crazy Handful of Nothin'","9.2","14,825","With the side effects and cost of his treatment mounting, Walt demands that Jesse finds a wholesaler to buy their drugs, which lands him in trouble.","2 Mar. 2008"
"7","1","7","A No-Rough-Stuff-Type Deal","8.8","13,081","Walt and Jesse try to up their game by making more of the crystal every week for Tuco. Unfortunately, some of the ingredients they need are not easy to find. Meanwhile, Skyler realizes that her sister is a shoplifter.","9 Mar. 2008"
"8","2","1","Seven Thirty-Seven","8.7","11,637","Walt and Jesse realize how dire their situation is. They must come up with a plan to kill Tuco before Tuco kills them first.","23 Sep. 2009"
"9","2","2","Grilled","9.2","13,713","Walt's disappearance is met with investigation by both his wife and Hank, as Tuco Salamanca intends to leave town with his kidnapped cooks.","15 Mar. 2009"
"10","2","3","Bit by a Dead Bee","8.3","11,341","Walt and Jesse try to come up with alibis for their disappearances.","22 Mar. 2009"
"11","2","4","Down","8.1","11,488","Skyler keeps mysteriously leaving without talking to Walt. Jesse's parents throw him out of his own house.","29 Mar. 2009"
"12","2","5","Breakage","8.3","11,121","Walt and Jesse decide to start their own little empire with the help of Jesse's friends: Skinny Pete, Combo, and Badger. Meanwhile, Hank tries to pull himself together after his encounter with Tuco.","5 Apr. 2009"
"13","2","6","Peekaboo","8.8","12,293","After Skinny Pete gets ripped off, Walt makes Jesse go get the money. Meanwhile, Walt's cover story on how Elliott and Gretchen are paying for his medical treatment is on the verge of collapsing.","12 Apr. 2009"
