 Algeria,"July 3, 1962",French recognition of Algerian referendum on independence held two days earlier
 Angola,"November 11, 1975",Independence from Portugal
 Benin,"August 1, 1960",Independence from France
 Botswana,"September 30, 1966",Independence from the United Kingdom
 Burkina Faso,"August 5, 1960",Independence from France
 Burundi,"July 1, 1962",Independence from Belgium
 Cape Verde,"July 5, 1975",Independence from Portugal
 Cameroon,"January 1, 1960",Independence from France
 Central African Republic,"August 13, 1960",Independence from France
 Chad,"August 11, 1960",Independence from France
 Comoros,"July 6, 1975",Independence from France declared
" Congo, Democratic Republic of the","June 30, 1960",Independence from Belgium
" Congo, Republic of the","August 15, 1960",Independence from France
 Ivory Coast,"December 4, 1958",Autonomous republic within French Community
"August 7, 1960",,
 Djibouti,"June 27, 1977",Independence from France
 Egypt,"February 28, 1922","Britain ends its protectorate, granting independence to Egypt"
 Equatorial Guinea,"October 12, 1968",Independence from Spain
 Eritrea,"May 24, 1993",Independence from Ethiopia declared
 Eswatini (Swaziland),"September 6, 1968",Independence from the United Kingdom
 Ethiopia,900,Zagwe dynasty
 Gabon,"August 17, 1960",Independence from France
 Gambia,"February 18, 1965",Independence from the United Kingdom
 Ghana,"March 6, 1957",Independence from the United Kingdom
 Guinea,"October 2, 1958",Independence from France
 Guinea-Bissau,"September 24, 1973",Independence from Portugal declared
"September 10, 1974",,
 Kenya,"December 12, 1963",Independence from the United Kingdom
 Lesotho,"October 4, 1966",Independence from the United Kingdom
 Liberia,"July 26, 1847",Independence from American Colonization Society
 Libya,"December 24, 1951",Independence from UN Trusteeship (British and French administration after Italian governance ends in 1947)
,"October 14, 1958",The Malagasy Republic was created as autonomous state within French Community
"June 26, 1960",,
 Malawi,"July 6, 1964",Independence from the United Kingdom
 Mali,"November 25, 1958",French Sudan gains autonomy
"September 22, 1960",,
 Mauritania,"November 28, 1960",Independence from France
 Mauritius,"March 12, 1968",Independence from the United Kingdom
 Morocco,"November 18, 1955",Protectorate abolished
,,
1666,Return of Spanish Morocco to Morocco,Apr-87
,,
 Mozambique,"June 25, 1975",Independence from Portugal
 Namibia,"March 21, 1990",Independence from South African rule
 Niger,"December 4, 1958",Autonomy within French Community
"August 3, 1960",,
 Nigeria,"October 1, 1960",Independence from the United Kingdom
"June 1, 1961",,
 Rwanda,"July 1, 1962",Independence from Belgium
 São Tomé and Príncipe,"July 12, 1975",Independence from Portugal
 Senegal,"August 20, 1960",Independence from France
 Seychelles,"June 29, 1976",Independence from the United Kingdom
 Sierra Leone,"April 27, 1961",Independence from the United Kingdom
 Somalia,"July 1, 1960",Union of Trust Territory of Somalia (former Italian Somaliland) and State of Somaliland (formerly British Somaliland)
 South Africa,"December 11, 1931","Statute of Westminster, which establishes a status of legislative equality between the self-governing dominion of the Union of South Africaand the UK"
"February 4, 1997","Creation of the autonomous Union of South Africa from the previously separate colonies of the Cape, Natal, Transvaal and Orange River","April 27, 1994"
 South Sudan,"July 9, 2011",Separation of Southern Sudan from Sudan
 Sudan,"January 1, 1956",Independence from Egyptian and British joint rule
 Tanzania,"December 9, 1961",Independence of Tanganyika from the United Kingdom
 Togo,"August 30, 1958",Autonomy within French Union
"April 27, 1960",,
 Tunisia,"March 20, 1956",Independence from France
 Uganda,"March 1, 1962",Self-government granted
"October 9, 1962",,
 Zambia,"October 24, 1964",Independence from the United Kingdom
 Zimbabwe,"November 11, 1965",Unilateral declaration of independence by Southern Rhodesia
 Antigua and Barbuda,"November 1, 1981",Independence from the United Kingdom
 Argentina,"May 25, 1810",May Revolution installs first local government
"July 9, 1816",,
 Bahamas,"January 7, 1964",Internal self-governance granted
"July 10, 1973",,
 Barbados,"November 30, 1966",Independence from the United Kingdom
,"September 21, 1981",Independence from the United Kingdom
"January 1, 1964",,
 Bolivia,"August 6, 1825",Bolivian War of Independence from Spain.
 Brazil,"September 7, 1822","Independence from the United Kingdom of Portugal, Brazil and the Algarves declared"
"August 29, 1825",,
 Canada,"July 1, 1867",Granted nominal independence (Dominion status)
"December 11, 1931",,
"April 17, 1982",,
