UNODC Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burundi,,,,,,,,, 4.2 , 4.4 , 4.0 , 3.9 , 5.4 , 5.4 , 5.7 , 4.5 , 6.0 
Comoros, 10.4 ,,,,, 9.5 ,,,,, 8.5 ,,,,, 7.7 ,
Djibouti, 8.9 ,,,,, 8.1 ,,,,, 7.4 ,,,,, 6.5 ,
Eritrea, 9.9 ,,,,, 9.6 ,,,,, 8.9 ,,,,, 8.0 ,
Ethiopia, 10.7 ,,,,, 9.4 ,,,,, 8.5 ,,,,, 7.6 ,
Kenya,,,,, 3.4 , 3.0 , 3.0 , 2.9 , 3.1 , 4.7 , 4.7 , 5.3 , 5.4 , 5.5 , 5.0 , 4.8 , 4.9 
Madagascar, 11.4 ,,,,, 10.0 ,,,,, 9.2 ,,,,, 7.7 ,
Malawi, 6.2 , 7.7 , 4.7 , 2.4 , 3.2 , 1.5 , 6.1 , 5.0 , 5.5 , 2.2 , 3.4 , 2.2 , 1.7 ,,,,
Mauritius, 2.2 ,,, 3.2 , 2.9 , 3.0 , 4.1 , 3.6 , 3.9 , 3.1 , 2.6 , 2.7 , 2.3 , 2.8 , 1.5 , 1.7 , 1.8 
Mayotte,,,,,,,, 14.2 , 2.5 , 5.9 ,,,,,,,
Mozambique,, 5.9 , 5.4 , 5.3 , 5.6 , 5.2 , 4.1 , 3.8 , 4.4 , 3.5 , 3.6 , 3.4 ,,,,,
Réunion,,,,, 2.9 , 3.2 , 2.4 , 3.0 , 2.2 , 1.8 ,,,,,,,
Rwanda,,,,,,, 3.5 , 2.8 , 1.5 ,, 2.8 ,, 2.4 , 3.2 , 3.8 , 2.5 ,
Seychelles,,,,, 11.4 ,, 10.0 , 8.9 , 6.6 , 15.4 , 9.8 , 17.4 , 4.3 , 19.4 , 17.2 , 7.5 , 12.7 
Somalia, 5.4 ,,,,, 5.0 ,,,,, 5.3 ,,,,, 4.3 ,
South Sudan,,,,,,,,,,,,, 13.9 ,,,,
Uganda,,,, 8.0 , 7.4 , 8.7 , 9.1 , 8.6 , 8.8 , 9.9 , 9.3 , 10.7 , 11.2 , 10.3 , 11.5 ,,
United Republic of Tanzania,,,, 7.5 , 7.6 ,,,,,, 8.4 , 8.7 , 8.3 , 7.3 , 7.5 , 7.0 ,
Zambia, 7.6 ,,,,,,,, 5.3 , 6.0 , 5.9 , 6.0 , 6.0 , 5.7 , 5.3 , 5.3 ,
Zimbabwe,, 12.4 , 13.0 , 10.8 , 10.6 , 10.4 , 8.2 ,,,, 5.0 ,, 6.7 ,,,,
Angola,,,,,,,,,,,, 4.4 , 4.8 ,,,,
Cameroon, 3.0 , 4.8 , 6.4 , 6.1 ,,,,, 4.1 , 6.6 , 5.0 , 4.1 , 4.2 ,,,,
Central African Republic,,,,,,,,,,,,,,,,, 19.8 
Chad, 11.4 ,,,,, 10.7 ,,,,, 9.7 ,,,,, 9.0 ,
Congo, 11.3 ,,,,, 10.6 ,,,,, 9.9 ,,,,, 9.3 ,
Democratic Republic of the Congo, 14.1 ,,,,, 14.6 ,,,,, 14.3 ,,,,, 13.5 ,
Equatorial Guinea, 3.3 ,,,,, 2.9 ,,,,, 2.6 ,,,,, 2.3 ,
Gabon, 10.8 ,,,,, 11.0 ,,,,, 8.7 ,,,,, 8.0 ,
Sao Tome and Principe,,,,,,, 2.5 , 2.5 , 8.4 , 2.9 , 3.4 , 3.4 ,,,,,
