Country,Prison Population Rate
United States of America,655
El Salvador,618
Thailand,558
Turkmenistan,552
Virgin Islands (USA),542
Cuba,510
Maldives,499
Northern Mariana Islands (USA),482
Virgin Islands (United Kingdom),470
Rwanda,464
Bahamas,442
Seychelles,437
Grenada,426
St. Vincent and the Grenadines,426
Panama,402
Cayman Islands (United Kingdom),393
St. Kitts and Nevis,393
Russian Federation,381
Guam (USA),381
Costa Rica,374
Anguilla (United Kingdom),367
Belize,356
Palau,345
American Samoa (USA),345
Belarus,343
Brazil,334
Nicaragua,332
Antigua and Barbuda,321
Bermuda (United Kingdom),319
Turkey,318
Puerto Rico (USA),313
Barbados,300
Cape Verde (Cabo Verde),296
Namibia,295
Uruguay,295
Iran,294
Trinidad and Tobago,292
Dominica,289
South Africa,286
Guyana,284
St. Lucia,280
Peru,278
French Guiana/Guyane (France),271
Georgia,265
Taiwan,265
Swaziland/eSwatini,258
Greenland (Denmark),249
Colombia,241
Dominican Republic,237
Curaçao (Netherlands),236
Azerbaijan,235
Lithuania,235
Israel,234
Bahrain,234
Morocco,232
Chile,231
Honduras,229
Cook Islands (New Zealand),229
Ecuador,222
Martinique (France),217
Mauritius,216
Macau (China),212
Moldova (Republic of),212
Fiji,210
Guadeloupe (France),210
Botswana,208
Argentina,207
New Caledonia (France),205
French Polynesia (France),204
Samoa,204
New Zealand,203
Czech Republic,203
Singapore,199
Paraguay,199
Saudi Arabia,197
Poland,196
Latvia,195
Gabon,191
Slovakia,190
Cambodia,189
Estonia,188
Albania,185
Montenegro,183
Suriname,183
Tunisia,181
Philippines,179
Kyrgyzstan,178
Venezuela,178
Malaysia,177
Hungary,173
Myanmar (formerly Burma),171
Guernsey (United Kingdom),170
Australia,169
Kazakhstan,168
Tonga,166
Aruba (Netherlands),165
Gibraltar (United Kingdom),165
Jordan,163
Mexico,163
Bolivia,158
Kuwait,157
Serbia,154
Ukraine,153
Sint Maarten (Netherlands),153
Algeria,151
United Kingdom: Scotland,150
Uzbekistan,150
North Macedonia,146
Zambia,146
Bhutan,145
Guatemala,142
Nauru,140
United Kingdom: England & Wales,139
Jamaica,138
Vietnam,137
Brunei Darussalam,134
Uganda,129
Malta,128
Spain,127
Portugal,127
Ethiopia,127
"Micronesia, Federated States of",127
Iraq,126
Lebanon,126
Bulgaria,125
Isle of Man (United Kingdom),125
Cameroon,124
Tajikistan,121
Jersey (United Kingdom),120
Reunion (France),119
Armenia,119
Laos,119
China,118
Mayotte (France),117
Sao Tome e Principe,116
Egypt,116
Zimbabwe,114
Kiribati,113
Tuvalu,110
Hong Kong (China),109
Republic of (South) Korea,109
Canada,107
Luxembourg,107
Romania,106
France,104
United Arab Emirates,104
Mongolia,102
Kenya,102
Italy,100
Greece,100
Libya,99
Austria,98
Indonesia,96
Kosovo/Kosova,95
Sri Lanka,94
Madagascar,93
Angola,93
Lesotho,92
Burundi,88
Belgium,88
Afghanistan,88
Monaco,83
"Ireland, Republic of",81
Switzerland,81
Haiti,80
United Kingdom: Northern Ireland,79
Croatia,78
Solomon Islands,78
Germany,77
Senegal,76
Cyprus (Republic of),74
Malawi,73
Bosnia and Herzegovina: Federation,73
Vanuatu,71
Andorra,69
Benin,68
Marshall Islands,66
Cote d'Ivoire,66
Togo,66
Bosnia and Herzegovina: Republika Srpska,66
Djibouti,66
Nepal,65
Slovenia,64
Denmark,63
Equatorial Guinea,63
Norway,63
Papua New Guinea,62
Netherlands,61
Mozambique,61
Syria,60
Sweden,59
Chad,59
Sierra Leone,58
Tanzania,58
Gambia,58
Yemen,53
Qatar,53
Bangladesh,52
Timor-Leste (formerly East Timor),52
Sudan,52
South Sudan,52
Finland,51
Liberia,50
Ghana,50
Mauritania,46
Niger,44
Pakistan,43
Japan,41
Burkina Faso,41
Iceland,37
Nigeria,36
Oman,36
India,33
Mali,33
Liechtenstein,31
Democratic Republic of Congo,29
Comoros,27
Congo (Republic of),27
Guinea (Republic of),25
Central African Republic,16
Faeroe Islands (Denmark),12
Guinea Bissau,10
