"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","PC_GDP","A","1965",20.639,
"AUS","TAXREV","TOT","PC_GDP","A","1966",19.86,
"AUS","TAXREV","TOT","PC_GDP","A","1967",20.439,
"AUS","TAXREV","TOT","PC_GDP","A","1968",20.371,
"AUS","TAXREV","TOT","PC_GDP","A","1969",20.713,
"AUS","TAXREV","TOT","PC_GDP","A","1970",21.105,
"AUS","TAXREV","TOT","PC_GDP","A","1971",21.856,
"AUS","TAXREV","TOT","PC_GDP","A","1972",21.413,
"AUS","TAXREV","TOT","PC_GDP","A","1973",22.504,
"AUS","TAXREV","TOT","PC_GDP","A","1974",24.643,
"AUS","TAXREV","TOT","PC_GDP","A","1975",25.381,
"AUS","TAXREV","TOT","PC_GDP","A","1976",25.561,
"AUS","TAXREV","TOT","PC_GDP","A","1977",25.427,
"AUS","TAXREV","TOT","PC_GDP","A","1978",24.535,
"AUS","TAXREV","TOT","PC_GDP","A","1979",25.156,
"AUS","TAXREV","TOT","PC_GDP","A","1980",26.217,
"AUS","TAXREV","TOT","PC_GDP","A","1981",26.389,
"AUS","TAXREV","TOT","PC_GDP","A","1982",26.864,
"AUS","TAXREV","TOT","PC_GDP","A","1983",26.116,
"AUS","TAXREV","TOT","PC_GDP","A","1984",27.713,
"AUS","TAXREV","TOT","PC_GDP","A","1985",27.768,
"AUS","TAXREV","TOT","PC_GDP","A","1986",28.539,
"AUS","TAXREV","TOT","PC_GDP","A","1987",28.637,
"AUS","TAXREV","TOT","PC_GDP","A","1988",28.293,
"AUS","TAXREV","TOT","PC_GDP","A","1989",28.009,
"AUS","TAXREV","TOT","PC_GDP","A","1990",28.104,
"AUS","TAXREV","TOT","PC_GDP","A","1991",26.668,
"AUS","TAXREV","TOT","PC_GDP","A","1992",26.135,
"AUS","TAXREV","TOT","PC_GDP","A","1993",26.605,
"AUS","TAXREV","TOT","PC_GDP","A","1994",27.507,
"AUS","TAXREV","TOT","PC_GDP","A","1995",28.285,
"AUS","TAXREV","TOT","PC_GDP","A","1996",28.924,
"AUS","TAXREV","TOT","PC_GDP","A","1997",28.666,
"AUS","TAXREV","TOT","PC_GDP","A","1998",29.448,
"AUS","TAXREV","TOT","PC_GDP","A","1999",29.818,
"AUS","TAXREV","TOT","PC_GDP","A","2000",30.471,
"AUS","TAXREV","TOT","PC_GDP","A","2001",28.939,
"AUS","TAXREV","TOT","PC_GDP","A","2002",29.812,
"AUS","TAXREV","TOT","PC_GDP","A","2003",29.991,
"AUS","TAXREV","TOT","PC_GDP","A","2004",30.304,
"AUS","TAXREV","TOT","PC_GDP","A","2005",29.996,
"AUS","TAXREV","TOT","PC_GDP","A","2006",29.429,
"AUS","TAXREV","TOT","PC_GDP","A","2007",29.56,
"AUS","TAXREV","TOT","PC_GDP","A","2008",26.866,
"AUS","TAXREV","TOT","PC_GDP","A","2009",25.574,
"AUS","TAXREV","TOT","PC_GDP","A","2010",25.311,
"AUS","TAXREV","TOT","PC_GDP","A","2011",25.934,
"AUS","TAXREV","TOT","PC_GDP","A","2012",26.952,
"AUS","TAXREV","TOT","PC_GDP","A","2013",27.156,
"AUS","TAXREV","TOT","PC_GDP","A","2014",27.325,
"AUS","TAXREV","TOT","PC_GDP","A","2015",27.919,
"AUS","TAXREV","TOT","PC_GDP","A","2016",27.758,
"AUT","TAXREV","TOT","PC_GDP","A","1965",33.509,
"AUT","TAXREV","TOT","PC_GDP","A","1966",34.201,
"AUT","TAXREV","TOT","PC_GDP","A","1967",34.101,
"AUT","TAXREV","TOT","PC_GDP","A","1968",34.149,
"AUT","TAXREV","TOT","PC_GDP","A","1969",34.6,
"AUT","TAXREV","TOT","PC_GDP","A","1970",33.586,
"AUT","TAXREV","TOT","PC_GDP","A","1971",34.26,
"AUT","TAXREV","TOT","PC_GDP","A","1972",34.678,
"AUT","TAXREV","TOT","PC_GDP","A","1973",34.849,
