Date,Median,Upper,Lower
1850/01,-0.7,-0.757,-0.627
1850/02,-0.286,-0.342,-0.218
1850/03,-0.732,-0.799,-0.68
1850/04,-0.563,-0.62,-0.493
1850/05,-0.327,-0.386,-0.279
1850/06,-0.213,-0.273,-0.159
1850/07,-0.125,-0.187,-0.072
1850/08,-0.237,-0.286,-0.187
1850/09,-0.439,-0.491,-0.386
1850/10,-0.451,-0.504,-0.39
1850/11,-0.187,-0.242,-0.133
1850/12,-0.257,-0.321,-0.198
1851/01,-0.296,-0.354,-0.22
1851/02,-0.356,-0.413,-0.277
1851/03,-0.479,-0.546,-0.421
1851/04,-0.441,-0.504,-0.37
1851/05,-0.295,-0.356,-0.25
1851/06,-0.197,-0.264,-0.141
1851/07,-0.212,-0.277,-0.156
1851/08,-0.157,-0.204,-0.106
1851/09,-0.101,-0.154,-0.05
1851/10,-0.057,-0.109,0.005
1851/11,-0.02,-0.076,0.028
1851/12,-0.051,-0.11,0.012
1852/01,-0.315,-0.371,-0.238
1852/02,-0.477,-0.527,-0.409
1852/03,-0.502,-0.568,-0.448
1852/04,-0.557,-0.616,-0.487
1852/05,-0.211,-0.266,-0.159
1852/06,-0.04,-0.102,0.017
1852/07,-0.018,-0.077,0.041
1852/08,-0.202,-0.255,-0.153
1852/09,-0.125,-0.173,-0.07
1852/10,-0.216,-0.272,-0.159
1852/11,-0.193,-0.249,-0.141
1852/12,0.073,0.014,0.132
1853/01,-0.182,-0.232,-0.106
1853/02,-0.327,-0.376,-0.261
1853/03,-0.309,-0.371,-0.256
1853/04,-0.355,-0.411,-0.284
1853/05,-0.268,-0.325,-0.217
1853/06,-0.175,-0.234,-0.121
1853/07,-0.059,-0.116,-0.005
1853/08,-0.148,-0.201,-0.1
1853/09,-0.404,-0.455,-0.356
1853/10,-0.362,-0.412,-0.307
1853/11,-0.255,-0.306,-0.203
1853/12,-0.437,-0.494,-0.378
1854/01,-0.365,-0.412,-0.293
1854/02,-0.282,-0.334,-0.223
1854/03,-0.286,-0.347,-0.238
1854/04,-0.353,-0.416,-0.287
1854/05,-0.233,-0.291,-0.182
1854/06,-0.219,-0.276,-0.167
1854/07,-0.227,-0.278,-0.175
1854/08,-0.167,-0.219,-0.121
1854/09,-0.119,-0.174,-0.068
1854/10,-0.192,-0.247,-0.134
1854/11,-0.367,-0.418,-0.319
1854/12,-0.233,-0.298,-0.176
1855/01,-0.169,-0.219,-0.101
1855/02,-0.401,-0.452,-0.338
1855/03,-0.306,-0.368,-0.253
1855/04,-0.223,-0.28,-0.154
1855/05,-0.338,-0.394,-0.289
1855/06,-0.167,-0.227,-0.111
1855/07,-0.271,-0.325,-0.216
1855/08,-0.163,-0.216,-0.112
1855/09,-0.336,-0.387,-0.278
1855/10,-0.217,-0.279,-0.163
1855/11,-0.214,-0.27,-0.16
1855/12,-0.518,-0.58,-0.457
1856/01,-0.122,-0.175,-0.05
1856/02,-0.376,-0.426,-0.315
1856/03,-0.528,-0.596,-0.474
1856/04,-0.38,-0.445,-0.308
1856/05,-0.129,-0.185,-0.079
1856/06,-0.291,-0.354,-0.236
1856/07,-0.304,-0.361,-0.246
1856/08,-0.309,-0.358,-0.258
1856/09,-0.461,-0.51,-0.409
1856/10,-0.391,-0.451,-0.33
1856/11,-0.608,-0.655,-0.551
1856/12,-0.449,-0.506,-0.383
1857/01,-0.513,-0.562,-0.448
1857/02,-0.345,-0.395,-0.282
1857/03,-0.434,-0.493,-0.384
1857/04,-0.649,-0.706,-0.585
1857/05,-0.57,-0.634,-0.521
1857/06,-0.31,-0.379,-0.255
1857/07,-0.541,-0.593,-0.489
1857/08,-0.329,-0.375,-0.279
1857/09,-0.393,-0.442,-0.343
1857/10,-0.474,-0.538,-0.417
1857/11,-0.668,-0.723,-0.612
1857/12,-0.358,-0.421,-0.304
1858/01,-0.528,-0.579,-0.462
1858/02,-0.708,-0.763,-0.644
1858/03,-0.548,-0.619,-0.499
1858/04,-0.512,-0.571,-0.436
1858/05,-0.653,-0.718,-0.605
1858/06,-0.582,-0.654,-0.525
1858/07,-0.329,-0.386,-0.276
1858/08,-0.278,-0.328,-0.233
1858/09,-0.332,-0.388,-0.285
1858/10,-0.211,-0.283,-0.152
1858/11,-0.643,-0.701,-0.587
1858/12,-0.304,-0.366,-0.242
1859/01,-0.308,-0.365,-0.245
1859/02,-0.189,-0.244,-0.13
1859/03,-0.327,-0.398,-0.277
1859/04,-0.195,-0.256,-0.123
1859/05,-0.307,-0.377,-0.257
1859/06,-0.248,-0.323,-0.193
1859/07,-0.274,-0.338,-0.22
1859/08,-0.1,-0.168,-0.048
1859/09,-0.565,-0.62,-0.516
1859/10,-0.249,-0.313,-0.196
1859/11,-0.315,-0.376,-0.263
1859/12,-0.363,-0.426,-0.304
1860/01,-0.181,-0.239,-0.123
1860/02,-0.426,-0.482,-0.367
1860/03,-0.642,-0.713,-0.59
1860/04,-0.332,-0.395,-0.265
1860/05,-0.293,-0.368,-0.247
1860/06,-0.309,-0.378,-0.251
1860/07,-0.109,-0.172,-0.058
1860/08,-0.182,-0.238,-0.125
1860/09,-0.217,-0.268,-0.159
1860/10,-0.195,-0.258,-0.143
1860/11,-0.515,-0.581,-0.46
1860/12,-0.762,-0.839,-0.704
1861/01,-0.893,-0.96,-0.833
1861/02,-0.508,-0.577,-0.444
1861/03,-0.464,-0.553,-0.399
1861/04,-0.386,-0.458,-0.319
1861/05,-0.768,-0.859,-0.708
1861/06,-0.189,-0.281,-0.125
1861/07,-0.221,-0.316,-0.143
1861/08,-0.094,-0.16,-0.037
1861/09,-0.33,-0.402,-0.272
1861/10,-0.362,-0.432,-0.313
1861/11,-0.417,-0.484,-0.368
1861/12,-0.247,-0.336,-0.174
1862/01,-0.742,-0.818,-0.672
1862/02,-0.78,-0.858,-0.706
1862/03,-0.403,-0.475,-0.345
1862/04,-0.24,-0.306,-0.165
1862/05,-0.225,-0.302,-0.176
1862/06,-0.336,-0.406,-0.273
1862/07,-0.344,-0.419,-0.287
1862/08,-0.7,-0.774,-0.641
1862/09,-0.42,-0.483,-0.367
1862/10,-0.42,-0.503,-0.359
1862/11,-0.766,-0.845,-0.714
1862/12,-0.887,-0.978,-0.812
1863/01,0.122,0.055,0.19
1863/02,-0.024,-0.093,0.047
1863/03,-0.365,-0.442,-0.306
1863/04,-0.244,-0.315,-0.176
1863/05,-0.329,-0.406,-0.279
1863/06,-0.402,-0.478,-0.336
1863/07,-0.423,-0.51,-0.358
1863/08,-0.326,-0.397,-0.263
1863/09,-0.316,-0.393,-0.25
1863/10,-0.384,-0.453,-0.325
1863/11,-0.329,-0.406,-0.266
1863/12,-0.341,-0.423,-0.262
1864/01,-0.941,-1.014,-0.873
1864/02,-0.632,-0.704,-0.562
1864/03,-0.507,-0.588,-0.443
1864/04,-0.548,-0.616,-0.483
1864/05,-0.454,-0.544,-0.399
1864/06,-0.165,-0.242,-0.102
1864/07,-0.159,-0.239,-0.1
1864/08,-0.311,-0.391,-0.252
1864/09,-0.445,-0.525,-0.384
1864/10,-0.706,-0.788,-0.643
1864/11,-0.472,-0.544,-0.412
1864/12,-0.615,-0.694,-0.541
1865/01,-0.101,-0.176,-0.032
1865/02,-0.615,-0.702,-0.542
1865/03,-0.646,-0.729,-0.578
1865/04,-0.236,-0.31,-0.17
