Long,Lat,City,Billionaires
40.712776,-74.005974,New York,105
22.396427,114.109497,Hong Kong,87
37.774929,-122.419418,San Francisco,75
55.755825,37.617298,Moscow,70
51.507351,-0.127758,London,65
39.904202,116.407394,Beijing,55
1.352083,103.819839,Singapore,39
34.052235,-118.243683,Los Angeles,39
25.204849,55.270782,Dubai,38
19.075983,72.877655,Mumbai,38
22.543097,114.057861,Shenzhen,37
-23.55052,-46.633308,Sao Paulo,33
41.00824,28.978359,Istanbul,32
30.274084,120.155067,Hangzhou,31
35.689487,139.691711,Tokyo,29
